strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,expiry_date,direction,active,personal_acc,parameter_5,value_5
BOLL_BAND_MOMENTUM_SHORT_CAKE,0.83,period,95,kstd,1.25,atr_period,5,stop_range,2,43,2024-01-31 00:47:29.662042-05,2024-01-31 00:47:29.662042-05,CAKE,BOLL_BAND_MOMENTUM_SHORT,2024-09-29 01:00:00-04,short,t,,,
BOLL_BAND_REVERSION_4H_YFI,0.34,period,55,kstd,125,atr_period,5,stop_range,4,112,2024-02-06 00:00:55.331305-05,2024-02-06 00:00:55.331305-05,YFI,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_TRU,1,period,40,kstd,225,atr_period,5,stop_range,3,111,2024-02-05 23:59:59.667847-05,2024-02-05 23:59:59.667847-05,TRU,BOLL_BAND_REVERSION_4H,,long,t,t,,
BOLL_BAND_MOMENTUM_SHORT_FLOW,0.66,period,115,kstd,1.75,atr_period,5,stop_range,2,44,2024-01-31 02:13:45.903228-05,2024-01-31 02:13:45.903228-05,FLOW,BOLL_BAND_MOMENTUM_SHORT,2025-01-27 00:00:00-05,short,t,t,,
BOLL_BAND_MOMENTUM_SHORT_FXS,0.55,period,115,kstd,1.5,atr_period,5,stop_range,2,45,2024-01-31 02:23:52.556598-05,2024-01-31 02:23:52.556598-05,FXS,BOLL_BAND_MOMENTUM_SHORT,2024-12-27 00:00:00-05,short,t,t,,
BOLL_BAND_REVERSION_4H_STX,0.79,period,70,kstd,200,atr_period,30,stop_range,3,110,2024-02-05 23:59:30.789031-05,2024-02-05 23:59:30.789031-05,STX,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_SSV,0.68,period,25,kstd,275,atr_period,5,stop_range,2,109,2024-02-05 23:57:24.203602-05,2024-02-05 23:57:24.203602-05,SSV,BOLL_BAND_REVERSION_4H,,long,t,t,,
BOLL_BAND_REVERSION_4H_RIF,0.82,period,15,kstd,250,atr_period,5,stop_range,3,108,2024-02-05 23:55:33.750482-05,2024-02-05 23:55:33.750482-05,RIF,BOLL_BAND_REVERSION_4H,,long,t,t,,
BTC_FEAR_GREED_INDEX_MOMENTUM_RNDR,0.69,slowLength,55,fastLength,30,atr_period,25,stop_range,2,58,2024-02-01 02:17:24.535495-05,2024-02-01 02:17:24.535495-05,RNDR,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-06-11 01:00:00-04,long,t,,,
BOLL_BAND_REVERSION_4H_ASTR,0.63,period,15,kstd,100,atr_period,5,stop_range,4,106,2024-02-05 23:48:22.395615-05,2024-02-05 23:48:22.395615-05,ASTR,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_APT,1,period,75,kstd,300,atr_period,10,stop_range,4,105,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,APT,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_MKR,0.67,period,40,kstd,175,atr_period,5,stop_range,4,104,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,MKR,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_INJ,0.83,period,60,kstd,150,atr_period,40,stop_range,4,103,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,INJ,BOLL_BAND_REVERSION_4H,,long,t,,,
BOLL_BAND_REVERSION_4H_XMR,0.94,period,40,kstd,300,atr_period,5,stop_range,3,102,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,XMR,BOLL_BAND_REVERSION_4H,,long,t,t,,
BOLL_BAND_REVERSION_4H_UNI,0.65,period,70,kstd,200,atr_period,45,stop_range,3,101,2024-02-05 23:45:58.01079-05,2024-02-05 23:45:58.01079-05,UNI,BOLL_BAND_REVERSION_4H,,long,t,,,
MACD_CROSSOVER_BNB,0.74,slowLength,20,fastLength,10,atr_period,10,stop_range,2,59,2024-02-02 21:30:08.391267-05,2024-02-02 21:30:08.391267-05,BNB,MACD_CROSSOVER,2024-11-09 00:00:00-05,long,t,,signal_length,5
MACD_CROSSOVER_BTC,0.69,slowLength,90,fastLength,80,atr_period,35,stop_range,3,60,2024-02-02 21:33:12.712036-05,2024-02-02 21:33:12.712036-05,BTC,MACD_CROSSOVER,2024-09-17 01:00:00-04,long,t,,signal_length,5
MACD_CROSSOVER_ADA,0.52,slowLength,20,fastLength,15,atr_period,5,stop_range,2,62,2024-02-02 21:43:08.065776-05,2024-02-02 21:43:08.065776-05,ADA,MACD_CROSSOVER,2024-11-19 00:00:00-05,long,t,,signal_length,10
MACD_CROSSOVER_XRP,0.52,slowLength,30,fastLength,20,atr_period,25,stop_range,3,61,2024-02-02 21:37:04.601137-05,2024-02-02 21:37:04.601137-05,XRP,MACD_CROSSOVER,2024-11-19 00:00:00-05,long,t,,signal_length,5
MACD_CROSSOVER_INJ,0.36,slowLength,80,fastLength,30,atr_period,40,stop_range,3,64,2024-02-02 21:53:13.908075-05,2024-02-02 21:53:13.908075-05,INJ,MACD_CROSSOVER,2025-10-21 01:00:00-04,long,t,,signal_length,10
MACD_CROSSOVER_RNDR,0.66,slowLength,75,fastLength,35,atr_period,30,stop_range,2,65,2024-02-02 21:54:02.927209-05,2024-02-02 21:54:02.927209-05,RNDR,MACD_CROSSOVER,2024-06-11 01:00:00-04,long,t,,signal_length,20
BOLL_BAND_REVERSION_SHORT_LTC,1,period,75,kstd,3,atr_period,5,stop_range,2,128,2024-02-08 18:53:19.069431-05,2024-02-08 18:53:19.069431-05,LTC,BOLL_BAND_REVERSION_SHORT,,short,t,,,
BOLL_BAND_REVERSION_SHORT_BCH,1,period,10,kstd,2.75,atr_period,5,stop_range,2,129,2024-02-08 18:53:19.069431-05,2024-02-08 18:53:19.069431-05,BCH,BOLL_BAND_REVERSION_SHORT,,short,t,,,
MACD_CROSSOVER_4H_ASTR,0.37,slowLength,60,fastLength,25,atr_period,5,stop_range,3,163,2024-02-09 20:21:08.172886-05,2024-02-09 20:21:08.172886-05,ASTR,MACD_CROSSOVER_4H,,long,t,,signal_length,5
